,Unnamed: 0,_id,text,task_1,task_2
717,4067,60c5d6bf5659ea5e55defb7e,When you don't get a text back but you see them posting on social media Fuck you ,HOF,PRFN
730,2108,60c5d6bf5659ea5e55deff95,go to hell motherfucker.,HOF,PRFN
740,3749,60c5d6bf5659ea5e55deff4c,Going get me a bitch out the country,HOF,PRFN
744,2205,60c5d6bf5659ea5e55deffcc,My mova.. nobody can piss me off quicker than this mf ,HOF,PRFN
747,1655,60c5d6bf5659ea5e55defcb5,I aint saving no hoe Im a real ass pimp !!,HOF,PRFN
749,3364,60c5d6bf5659ea5e55def4d7,"Delaying opening up on June 21 is bollocks!! You want facts? - Viruses continually mutate so lets stop naming variants,,, it will be an endless task - NHS is no longer at risk. It never was, it was just underfunded - There are bigger health threats than Covid - Wake up! ",HOF,PRFN
750,1823,60c5d6bf5659ea5e55defe1b,"You can have good dick, good head. But that dont exclude you from being a flea. You cant nurture your mind body and soul with sex. You will always feel empty. And Im not going to fill that void. Get a fuckin therapist bro. ",HOF,PRFN
763,5022,60c5d6bf5659ea5e55def1df,OI YA WANKER PUT ME IN IT,HOF,PRFN
770,3343,60c5d6bf5659ea5e55def2fc,Only a gay motherfucker could take something as beautiful as a rainbow and fuck it up for everyone else.,HOF,OFFN
782,1987,60c5d6bf5659ea5e55df0034,get this bloody burger off my head before I stab a bitch,HOF,PRFN
789,3193,60c5d6bf5659ea5e55df02e4,Make him think his daughter died because of him Maxie. Make that motherfucker hurtttt.,HOF,PRFN
799,5083,60c5d6bf5659ea5e55def193,"then she was slowly deep throating da dick . and my head layed back .. but she started to speed it up and I wanted to move her head so bad but i couldnt . she was sucking about 10 mins in and i nutted , she didnt stop there .. she went another hour  my body felt",HOF,PRFN
826,2773,60c5d6bf5659ea5e55df0311,Happy pride month from americas whore,HOF,PRFN
838,1352,60c5d6bf5659ea5e55def846,"Son of a bitch wrong ""you're"" ",HOF,OFFN
840,3363,60c5d6bf5659ea5e55def49e,my dad just said you cheese master to my brother but i heard you cheese bastard,HOF,PRFN
846,1988,60c5d6bf5659ea5e55df0038,the wanker one has me extremly screaming rn i can't with them lmfao,HOF,PRFN
853,1940,60c5d6bf5659ea5e55deff91,Me and my son just had to piece 3 hoes up for calling my shorty a bitchmy wig off and every nail bloody but I bet she cant see out that,HOF,PRFN
868,4037,60c5d6bf5659ea5e55defc18,stop acting like a posh bitch and sing with you girl you stupid deityyyyyyyyyyy,HOF,OFFN
870,4445,60c5d6bf5659ea5e55defdf4,Sucked a dick so sloppy last night I had snot coming outta my nose and still didnt stop  three cheers for super sloppy head,HOF,PRFN
876,2723,60c5d6bf5659ea5e55df0465,sorry never mind fucking crying carlo can koff fuckin shitbag he committed to blues said he was gonna take us new stadium told a pack of lies fuckoff lad,HOF,PRFN
884,2279,60c5d6bf5659ea5e55df0152,bouta say bloody Mary 3 times in the mirror just so i got a bitch to talk to,NOT,NONE
890,4086,60c5d6bf5659ea5e55defb8f,Need an air con in this fucking house peeling my bollocks off my leg every 5 mins,HOF,PRFN
906,1121,60c5d6bf5659ea5e55def7cf,"GCN Magazine (2013): ""Danielle is quiet at the best of times, but is first off the mark when I ask them about girl-crushes. 'Penelope Cruz', she blurts, 'Shes so fucking hot. When I saw her in Vicky Cristina Barcelona damn!'""",NOT,NONE
917,4026,60c5d6bf5659ea5e55defc96,"The way I see it is if youre being a dick then yeah apologize. Other then that, yeah they can go fuck themselves lol.",HOF,PRFN
923,3485,60c5d6bf5659ea5e55def35e,Gah damn bills due again . Im sick of this shit.,HOF,PRFN
927,350,60c5d6bf5659ea5e55def47d,im a whore creo,HOF,PRFN
945,441,60c5d6bf5659ea5e55def45d,/ techno neg  how about instead of donating to an asshole who is brushing off hurt miniorities you donate to the Trevor Project or an LGBTQIA+ streamer ,HOF,PRFN
952,2137,60c5d6bf5659ea5e55df0028,bitch im worth more,HOF,PRFN
954,3604,60c5d6bf5659ea5e55def4e7,im abt to start my period thats why ive been so horny smh  i need some dick b4 i start ngl ,HOF,PRFN
961,1271,60c5d6bf5659ea5e55defa3c,Pussy grows on trees .,HOF,PRFN
966,47,60c5d6bf5659ea5e55def12a,"Some guy has just walked over to my car while Im sat at traffic lights asked me to suck his dick, called me a slag then spat on my windscreen as I rolled my window up lmfao what in the crack head",HOF,PRFN
968,4835,60c5d6bf5659ea5e55def7d9,"""don't wear makeup"" bitch i will peg u",HOF,PRFN
969,1851,60c5d6bf5659ea5e55defd25,you should send a stranger some cash for no reason other that what they look like and who they fuck,HOF,PRFN
972,2146,60c5d6bf5659ea5e55deff2a,Whoever was the first person to design a bathroom with the light switch on the other side of the door was a real asshole.,HOF,PRFN
981,2973,60c5d6bf5659ea5e55df0155,"im such an impatient bitch when im hungry, i rly do feel bad for those subjected to me in this state like i can really hurt some feelings without even meaning to",NOT,NONE
983,4981,60c5d6bf5659ea5e55def99a,"Just letting him rest there for a moment while splaying his hands on ZZSs hips to feel every minute twitch. Then he starts to move his head, up and down, slowly and teasingly. He circles his tongue around the soft head of ZZSs dick and the other moans above him.",HOF,PRFN
992,3607,60c5d6bf5659ea5e55def586,Ooooo this bitch got 4 kids at 24,HOF,OFFN
995,2158,60c5d6bf5659ea5e55df0048,"Y'all testing my patience eh? I'm damn shut up now. Don't dare me to say such things then after that you'll call me ""bastos""? Wtf was that eh? HAHAHAHAHA fuck that mindset. Let me do the things I want 'cause those are my fucking peace of mind. That's my rest.",HOF,PRFN
996,4395,60c5d6bf5659ea5e55defe99,"inb4 you snap back at me for ""bootlicking jacob"" or something similar. i'm not coming at you because you shat on jacob. i'm coming at you because you're being a cunt. there are better ways to vent your anger and frustration.",HOF,OFFN
1005,4353,60c5d6bf5659ea5e55defe1f,Every little thing is pissing me off today &gt;:( Whadda heck goin the fuck on?,HOF,PRFN
1012,3812,60c5d6bf5659ea5e55df0138,"am i an asshole for getting annoyed at people that bother me when i walk my dog LOL. like ok, he is cute, but fuckin a i wanna have a nice walk, not stand there and let you pet him for 5 minutes. leave me alone pls",HOF,PRFN
1019,3954,60c5d6bf5659ea5e55def93f,Not this teacher again slimy bitch,HOF,OFFN
1036,3023,60c5d6bf5659ea5e55df04c4,"cishets in my country are such low-lifes, they bash the community for liking the same gender but look at what they do. premarital sex, watch and masturbate to porn everyday.. so whos the sinner now, fucker",HOF,PRFN
1037,2841,60c5d6bf5659ea5e55df0437,JEALOUSY A BITCH IT LOOK LIKE.,NOT,NONE
1045,5035,60c5d6bf5659ea5e55def217,"Writing this post is making my tongue numb, reminding me of a death injury. And I find this line: ""the cutting out the tongues of prophetic poets."" Shit's constantly the same, actually.",NOT,NONE
1049,1689,60c5d6bf5659ea5e55defcb0,This asshole's a fucking pig!,HOF,PRFN
1061,2125,60c5d6bf5659ea5e55deff36,found out the reason I scream bloody murder when ppl startle me is a direction manifestation of my manic depression LMFAO so basically I cant help it and ima be a scary bitch forever. LMFAOOOOO I love learning stuff about me,HOF,PRFN
1066,1263,60c5d6bf5659ea5e55def972,"How many times a day do you think, say, or just want to scream.... MOTHER FUCKER!!!!!  I'm averaging about 31 these days.",HOF,PRFN
1071,843,60c5d6bf5659ea5e55def690,HIT! NOT HOT!!! FUCK YOU ACTUALLY,HOF,PRFN
1074,4966,60c5d6bf5659ea5e55def7a3,robert you can come to me at the end of july :) idk what about abdul .asshole dont keep animals at home. come join us in ours factory i have a pland to realise for 100k pln monthly on head come we will work this out and go to miley. we can pay for a jet to LA but leave itto Miley,HOF,PRFN
1088,4556,60c5d6bf5659ea5e55def6bf,I was a poor little kid in the lungs of new York Just like a motherless son of a bitch Loaded on ephedrine looking for downers and coke Like a sun that just wouldn't set out on the horizon Singing and dancing to them nighttime songs,HOF,PRFN
1104,4888,60c5d6bf5659ea5e55def723,T3chn0 you son of a bitch Making me watch your content again for drm lore this is SICK,HOF,PRFN
1114,505,60c5d6bf5659ea5e55def348,"I just want a medium fine man, thats stable, can cook, romantic, slightly an asshole, and want to love up on me.",HOF,PRFN
1121,972,60c5d6bf5659ea5e55defa12,Niggas a really act like they dont fwu or dont know you just for some pussy.. I thought you was my dawg ,HOF,PRFN
1138,694,60c5d6bf5659ea5e55def6c2,So am I at work and just found out that I dont work today because apparently I was supposed to work the holiday yesterday and that message was not relayed to me so why is my supervisor mad???..dont know dont care but I hope he has a miserable day im out this bitch,HOF,PRFN
1143,148,60c5d6bf5659ea5e55def119,any esports teams need a cheerleader??? a hooker? anything???? me need job,HOF,PRFN
1145,2444,60c5d6bf5659ea5e55df01ff,starting to think my parents  exaggerated the vaccine side effects,NOT,NONE
1154,2948,60c5d6bf5659ea5e55df00b7,"imagine yer name was that cunt from Polygon, but ye wisnae wantin a gobble",HOF,PRFN
1179,3105,60c5d6bf5659ea5e55df04a4,Guess whos officially CPR certified! This bitch!!,NOT,NONE
1210,4937,60c5d6bf5659ea5e55def8c8,Do you just want dick or do you want love?,HOF,PRFN
1220,926,60c5d6bf5659ea5e55defa6a,"You know, if Felder would have gotten the decision over Hooker; he would have likely fought Michael Chandler and he could have won that via being insanely tough.",NOT,NONE
1226,2321,60c5d6bf5659ea5e55df01fb,"play with my pussy, but don't play with my 'motions.",HOF,PRFN
1232,3670,60c5d6bf5659ea5e55deff96,this is why i needa get my shit together and get in shape . im tryna look fine af,HOF,PRFN
1233,2525,60c5d6bf5659ea5e55df02c9,Fuck you *kills Reagan*,HOF,PRFN
1234,446,60c5d6bf5659ea5e55def2f9,my tl so fuckin dry im tryna see some pussy!!!,HOF,PRFN
1263,3447,60c5d6bf5659ea5e55def359,"Just a heads up to any would-be felons: The line between clinically insane criminal and disturbed psychopath who's going to federal prison is a fairly defined and contoured one. And yes, I just watched the Parkland shooter interview and he's a despicable lil twat",HOF,PRFN
1264,4816,60c5d6bf5659ea5e55defa42,"Be like a Russian whore, Piss on Trump",HOF,PRFN
1265,248,60c5d6bf5659ea5e55def153,"There has never been a more perfect time for that girl who lost her NASA internship because she said ""fuck you"" to a member of the National Space Council to resurface",HOF,PRFN
1273,3839,60c5d6bf5659ea5e55df020d,Wasnt planning on being productive today at all but here I am getting shit done ,HOF,PRFN
1281,1778,60c5d6bf5659ea5e55defd87,It made me feel so good my daughter damn near jumped to her teacher this morning !,NOT,NONE
1289,4,60c5d6bf5659ea5e55def14a,I apologized to this one for nothing??? Nirudishie my apology twat,HOF,PRFN
1297,2270,60c5d6bf5659ea5e55df01a7,Big klifford the red dog bitch bloody than a mf,HOF,PRFN
1327,1487,60c5d6bf5659ea5e55defc62,"Me at 4.30pm ""ahh at least the day is over""  The business energy provider switching company calling at 4.32pm ""guess again motherfucker""",HOF,PRFN
1343,1724,60c5d6bf5659ea5e55defe69,Bloody hell.,NOT,NONE
1346,3261,60c5d6bf5659ea5e55df04a6,Duncan Ferguson? Fuck off Eddie Howe? Fuck off Chris Wilder? Fuck off  Not arsed who it is but leave them 3 well alone,HOF,PRFN
1363,3550,60c5d6bf5659ea5e55def421,"""I'm a pirate! I have a hook! I'm a hooker!"" - my child",HOF,PRFN
1376,3303,60c5d6bf5659ea5e55def140,"I hope that son of a bitch that hit the 50 year old woman in NEW YORK, goes to prison for life. When and if he ever gets out of prison, you can bet hell have a few greeters waiting for him. There may be some greeters waiting for him in the Tombs.",HOF,OFFN
1386,3157,60c5d6bf5659ea5e55df029d,"structural changes in the system. the one who claimed to be the original, Apollo, is a skeevy, thieving, shitbag asshole. he stole my life, took over, named himself original, and then tried to get rid of Lukas and I so it was his life not ours. a",HOF,PRFN
1391,3979,60c5d6bf5659ea5e55defa11,Southgate is a waistcoat wanker pass it on,HOF,PRFN
1397,3555,60c5d6bf5659ea5e55def4e0,"Imagine being in the handful of people on Twitter whos a complete cunt! They must be struggling for happiness, Sad really.",HOF,PRFN
1400,4141,60c5d6bf5659ea5e55defabf,"techno scheduled a fucking stream, is this motherfucker really about to drag me by my nappy ass head back into this fucking smp",HOF,OFFN
1412,1947,60c5d6bf5659ea5e55df002a,FANTASY: paint naked outside while I ride a dick.. is that to much to ask?,HOF,PRFN
1420,1044,60c5d6bf5659ea5e55def8c0,If I even make it there lmaoo cuz this bitch drivin like her eyes closed,NOT,NONE
1433,2984,60c5d6bf5659ea5e55df00ac,"Anyone,  And I repeat,  ANYONE,  Who posts ANYTHING personal on here,  Is ...  And I can't stress this enough ...  An ATTENTION SEEKING CUNT.",HOF,OFFN
1445,643,60c5d6bf5659ea5e55def655,one thing thatll really piss me off is when somebody ask me for help with something that they can do themselves like dont even be needing help just want me to do it for them,NOT,NONE
1458,3405,60c5d6bf5659ea5e55def4b7,Lauren W and Milo are co-hosting Tru News. I dont think his Dick Sobriety has been near long enough. Im afraid he might go on a Dry-Hump.,HOF,PRFN
1465,2970,60c5d6bf5659ea5e55df0134,I hate people who double check my work. Bitch you aint even know what you was looking for before you called in here ?????,HOF,HATE
1487,2166,60c5d6bf5659ea5e55defeeb,Dont fucking piss me off,HOF,PRFN
1492,83,60c5d6bf5659ea5e55def27c,welp,NOT,NONE
1497,2252,60c5d6bf5659ea5e55df01d1,HE WROTE IN MY BOOK WTF AMBSKABSKANKSJAKAJAKANA IM SO MAD NOW HHHHHHDJSBJSJAKSKAA AND OTS IN PURPLE FUCKIN MARKER ????????? BITCH- GRRRGDJDBAJBSKA IM SO MAD RN,HOF,PRFN
1499,3020,60c5d6bf5659ea5e55df044a,"on god I see one more straight mf talk about pride is about me simping for ___ Im really gonna lose my shit. that aint funny or cute, literally shut the fuck up you goddamn fool.",HOF,PRFN
1503,489,60c5d6bf5659ea5e55def35f,so I have decided that I only want to continue fucking with no feelings attached. Kind of not mentally ready for something serious. So I need tips. Help me release my inner whore ,HOF,PRFN
1504,2109,60c5d6bf5659ea5e55deffa5,"[HW] ""Ilberd, you sick bastard. You sick, swiving BASTARD! I'll hack you to pieces with my lance, see if I don't.""",HOF,PRFN
1521,796,60c5d6bf5659ea5e55def5fe,Bloody day began now its time to be as evil as I can be son of a bitch,HOF,PRFN
1532,3513,60c5d6bf5659ea5e55def33a,Civil War fact of the day: Maj Gen Joseph Hooker frequented brothels so much troops started calling the women who worked there Hookers Girls. Later it was shortened to just Hookers And that's how working girls got the nickname,HOF,PRFN
1544,152,60c5d6bf5659ea5e55def15e,State of Southgate the big waistcoat wanker!  Just done a press conference saying Jesse Lingard will start tomorrow in the friendly despite not being picked for the tournament!  I mean what the f**k! Hows it a warm up game of your playing players not going??!?!?,HOF,PRFN
1548,3362,60c5d6bf5659ea5e55def32d,Im about to say bloody Mary three times so I can get a bitch to talk to.,HOF,PRFN
1565,4019,60c5d6bf5659ea5e55defbf9,joking about someones trauma doesnt make you funny it makes you a complete asshole,HOF,PRFN
1568,2544,60c5d6bf5659ea5e55df041f,AND SOMEONE TELL THIS FUCKER TO UNBLOCK ME,HOF,PRFN
1571,2618,60c5d6bf5659ea5e55df0443,"car's turning. maybe, no blinker of course, but seems turn-ish. does he see you? who the fuck knows. life's rich tapestry.",HOF,PRFN
1576,442,60c5d6bf5659ea5e55def49c,"Why tf this man called me talkin bout his order wont take his damn gift card after he put the pin in. Whole time his dumbass aint put the card number in talkin bout ""woah, what a number"". Get yo pale ass off my line SIR!!! Neeoooww!",HOF,PRFN
1589,5058,60c5d6bf5659ea5e55def2a3,Why was i working today and this old ass lady tells me.. boy! Id eat that dick up! ,HOF,PRFN
